Total,Generation,PersonalityTrait,Likes,DisLikes,Bonus,combinedDecision
2b,1b,Timid,Sweet,Spicy,8b,grass poison
3b,1b,Hasty,Sweet,Sour,5b,grass poison
5b,1b,Naughty,Spicy,Bitter,4b,grass poison
6b,1b,Adamant,Spicy,Dry,12b,grass poison
2b,1b,Naive,Sweet,Dry,1b,fire none
3b,1b,Jolly,Sweet,Sweet,2b,fire none
5b,1b,Brave,Spicy,Sweet,13b,fire flying
6b,1b,Adamant,Spicy,Dry,15b,fire dragon
6b,1b,Adamant,Spicy,Dry,5b,fire flying
2b,1b,Bold,Sour,Spicy,10b,water none
3b,1b,Bold,Sour,Spicy,5b,water none
5b,1b,Brave,Spicy,Sweet,1b,water none
6b,1b,Naughty,Spicy,Bitter,12b,water none
0b,1b,Mild,Dry,Sour,6b,bug none
0b,1b,Adamant,Sweet,Dry,7b,bug none
3b,1b,Timid,Sweet,Spicy,14b,bug flying
0b,1b,Rash,Bitter,Bitter,7b,bug poison
0b,1b,Lonely,Dry,Sour,9b,bug poison
3b,1b,Adamant,Spicy,Dry,6b,bug poison
4b,1b,Naughty,Spicy,Bitter,7b,bug poison
1b,1b,Calm,Sweet,Spicy,9b,normal flying
2b,1b,Quiet,Sweet,Sweet,13b,normal flying
4b,1b,Lonely,Spicy,Sour,5b,normal flying
6b,1b,Lonely,Spicy,Sour,4b,normal flying
1b,1b,Relaxed,Bitter,Sweet,12b,normal none
3b,1b,Brave,Spicy,Sweet,0b,normal none
1b,1b,Lonely,Dry,Sour,1b,normal flying
4b,1b,Brave,Spicy,Sweet,13b,normal flying
1b,1b,Calm,Sweet,Spicy,2b,poison none
4b,1b,Adamant,Spicy,Dry,12b,poison none
2b,1b,Impish,Sweet,Dry,6b,electric none
4b,1b,Lonely,Spicy,Sour,15b,electric none
2b,1b,Brave,Spicy,Sweet,1b,ground none
4b,1b,Adamant,Spicy,Dry,2b,ground none
1b,1b,Lonely,Dry,Sour,10b,poison none
3b,1b,Lax,Sour,Bitter,9b,poison none
5b,1b,Naughty,Spicy,Bitter,12b,poison ground
1b,1b,Brave,Sweet,Sweet,3b,poison none
3b,1b,Adamant,Spicy,Dry,10b,poison none
5b,1b,Lonely,Spicy,Sour,12b,poison ground
2b,1b,Naive,Sweet,Dry,8b,fairy none
4b,1b,Relaxed,Sour,Sweet,6b,fairy none
2b,1b,Rash,Dry,Bitter,2b,fire none
5b,1b,Lonely,Spicy,Sour,14b,fire none
1b,1b,Lonely,Bitter,Sour,6b,normal fairy
4b,1b,Naive,Sweet,Dry,2b,normal fairy
1b,1b,Calm,Sweet,Spicy,5b,poison flying
4b,1b,Lonely,Spicy,Sour,6b,poison flying
2b,1b,Timid,?,Spicy,2b,grass poison
3b,1b,Relaxed,Sour,Sweet,3b,grass poison
4b,1b,Adamant,Spicy,Dry,11b,grass poison
1b,1b,Rash,Dry,Bitter,2b,bug grass
3b,1b,Adamant,Spicy,Dry,4b,bug grass
2b,1b,Careful,Sweet,Dry,14b,bug poison
4b,1b,Hasty,Sweet,Sour,8b,bug poison
